# Forza Horizon 6 Luna teleport list
# NameBase64|PositionBase64
U3BvdCAxMTU=|VGAVxWK6r0Ol7+7FbZ0MxA==
U3BvdCAxMTY=|+CUxxZwlPkORqfbFKq/gxA==
U3BvdCAxMTc=|S3A3xaOhDkOekwDG1a4zxg==
U3BvdCAxMTg=|+fEuxRl0JEMVAAjGc4XLxg==
U3BvdCAxMTk=|lDtNxflV+kJ8t/bFPwHyxw==
U3BvdCAxMjA=|qHY9xVcB90IovuTFWODpvw==
U3BvdCAxMjE=|WSNMxW2i80KXO9bFKPbtxA==
U3BvdCAxMjI=|I8trxZHQYkPJ98rFuXfZvw==
U3BvdCAxMjM=|aW0sxQyn7ELzfsbFAAAAAA==
U3BvdCAxMjQ=|DoVYxcfnX0Mex7vFVpLWxA==
U3BvdCAxMjU=|wjyUxT6tVEMa8LzF5iyBRA==
U3BvdCAxMjY=|teaExfxzpkPvS6vFPHYKww==
U3BvdCAxMjc=|Ixa7xcYxJkMbw8PFRZXfQg==
U3BvdCAxMjg=|VhGsxe0eJkNLKcbFi1C3wg==
U3BvdCAxMjk=|cSGrxZowJkMP47TFRR+kvw==
U3BvdCAxMzA=|sRm4xVl6JEO7mpjFACCltg==
U3BvdCAxMzE=|YlClxTa0nENdUorF9uFARA==
U3BvdCAxMzI=|I4G7xS4xLEMdQ3LF+3TeQw==
U3BvdCAxMzM=|h6nkxR/JI0OTGEfFup0pwg==
U3BvdCAxMzQ=|NH7kxSFJHUOBoSbFNAu3vw==
U3BvdCAxMzU=|+sDdxdMOHkPbVOPEjc4/RQ==
U3BvdCAxMzY=|FenHxQf6LEMYesjESMNKvw==
U3BvdCAxMzc=|oODPxQnoHUNSvg/EKnmnvw==
U3BvdCAxMzg=|yJSoxQHjDkPj1yhD/AUbwA==
U3BvdCAxMzk=|1xejxQfQDEMu4wND3jRzvw==
U3BvdCAxNDA=|W8gWxTve+0KDCKNErIDQwQ==
U3BvdCAxNDE=|eDXyw9K4HEMFe15FubUDRQ==
U3BvdCAxNDI=|/PccQ+KqAkNfy0NF3p6Ivw==
U3BvdCAxNDM=|qFP6QyYR90KqriBF/tiyvg==
U3BvdCAxNDQ=|VxspRLKl8ELOYxNFOTQLwg==
U3BvdCAxNDU=|ycLswdor6kIo7O1E9SyHww==
U3BvdCAxNDY=|M/UjRI6+A0Mja65EnjBAww==
U3BvdCAxNDc=|H/7YREkg9kJ1gt5ERBeRwA==
U3BvdCAxNDg=|WDKxRGC9ZkNaRoZEYbabww==
U3BvdCAxNDk=|22+DRB557kIe2LtD2LPbwg==
U3BvdCAxNTA=|fjU+RLs3AkPMuwRE2ilWxA==
U3BvdCAxNTE=|RZoDxP8GRUNXE0tEFnTNQg==
U3BvdCAxNTI=|mN1PxP0ZVUOtPHZDICsLwA==
U3BvdCAxNTM=|dOAqxLXihENHo1vEouaOvw==
U3BvdCAxNTQ=|4ag/xOWNikPP2wnEUeS8Qw==
U3BvdCAxNTU=|eXQgQ3it6ELbqlHEl7pSxA==
U3BvdCAxNTY=|5yD2wnFY7EJjMeTENBJhwg==
U3BvdCAxNTc=|87KmQ9zE4EJugQnF4U2KxA==
U3BvdCAxNTg=|bL4BxAadL0O0CwbFwLEBQw==
U3BvdCAxNTk=|cUdkxMAaAEMaq4nEAOiURA==
U3BvdCAxNjA=|+ZG7xErfkEPBgc/E1/Leww==
U3BvdCAxNjE=|O3HxxCJegUM5KgXFC+EgxQ==
U3BvdCAxNjI=|2aXtxKAqxENBZLXEfYqYwg==
U3BvdCAxNjM=|oArpxAIpxEMUhAHDkpmFww==
U3BvdCAxNjQ=|DN8axYSrwEMUUTjEIo3Avg==
U3BvdCAxNjU=|TygwxfF7y0NuMmPEa7oawg==
U3BvdCAxNjY=|u2laxfzUckOanw7EGtYywA==
U3BvdCAxNjc=|neeFxQBspUOZsRHEgardxQ==
U3BvdCAxNjg=|DKaIxdT1w0OLT4jEqQuFww==
U3BvdCAxNjk=|mzN2xTBQzEOydbfE6wkExA==
U3BvdCAxNzA=|YhKkxWs2wkOxL7LEZhYvwg==
U3BvdCAxNzE=|Odx5xXDxv0MAhTXFrrecvw==
U3BvdCAxNzI=|+sqKxZBop0N+ME3FNnwywA==
U3BvdCAxNzM=|0Kdrxb2LiUPybUjFEqPqvg==
U3BvdCAxNzQ=|GAFJxVdSSkPFGgXFtU7Kwg==
U3BvdCAxNzU=|0fhIxbJPSkM47gTFZdztwg==
U3BvdCAxNzY=|xJ2Dxenjr0N8WZvFQ6IZRQ==
U3BvdCAxNzc=|bl1Kxf+FB0PR16fFGgyMwQ==
U3BvdCAxNzg=|aoExxSUY6kIpn4PFeG8nRg==
U3BvdCAxNzk=|TssyxdBg/kIChlnFcJfUvw==
U3BvdCAxODA=|ghwbxSYIBEPu623FvFt/wg==
U3BvdCAxODE=|/CtCxLDD6kLX0VTFL1COxg==
U3BvdCAxODI=|j8vIw/WE1kKUi2/FhzmGxA==
U3BvdCAxODM=|klZWQ2XO0kJ/RJzFgAdOxQ==
U3BvdCAxODQ=|IDlUw9Oo0kI3CqzFHFvLwQ==
U3BvdCAxODU=|D+rAwxLEzEI2VdHFUAA3xQ==
U3BvdCAxODY=|RF+dQ2bRzELvtbnFTZEqxg==
U3BvdCAxODc=|TE1sRGX1zELDCazFtkgsxw==
U3BvdCAxODg=|xX2LREahzUJMO53Fb/6YxQ==
U3BvdCAxODk=|TQSmRFaf00JtfoLFbDp9vw==
U3BvdCAxOTA=|HHFeROoM30J6GRzFQuG5RA==
U3BvdCAxOTE=|txXgRNfN2ELhVknFBLZtww==
U3BvdCAxOTI=|gyE0Reti4EKCUr7Ey0S3wA==
U3BvdCAxOTM=|KLMCRQzI9kIBzSzEQ1tawg==
U3BvdCAxOTQ=|a6gDRTAW2EJ2bhbFBEe9xQ==
U3BvdCAxOTU=|HK8URUqfBEO46WzF9dSGvg==
U3BvdCAxOTY=|6DA+RU8T7kKev3fFgAFLRQ==
U3BvdCAxOTc=|CoIaRUUoUkMH1ZnFKnrrwA==
U3BvdCAxOTg=|LqQERc6xPEP3aKjFKSSFwA==
U3BvdCAxOTk=|D90DRZYvRkO9BLHFEyMkxA==
U3BvdCAyMDA=|1XHURPEJ4kKORsrFJipcxA==
U3BvdCAyMDE=|lm0ZRRUL6kKLadHFUDXrwQ==
